Megadyptes antipodes
Strigops habroptila
Petroica traversi
Nestor meridionalis
Nestor notabilis
Prosthemadera novaeseelandiae
Hymenolaimus malacorhynchos
Rhipidura maculipectus
Falco novaeseelandiae
Hemiphaga novaeseelandiae
Ninox novaeseelandiae novaeseelandiae
Diomedea antipodensis
Eudyptula minor
Eupsittula canicularis
Eudyptes chrysocome
Apteryx owenii
Todiramphus ruficollaris
Callaeas cinereus
Mohoua ochrocephala
Callaeas wilsoni
Thinornis novaeseelandiae
Acanthisitta chloris
Notiomystis cincta
Porphyrio hochstetteri
Ixobrychus sturmii
Sternula nereis
Philesturnus rufusater
Charadrius bicinctus
Apteryx australis
Eudyptes pachyrhynchus
